N, P, entropy, rsquared, cycles, heap sort, insertion sort, merge sort, selection sort, smooth sort, tim sort
10000, 1.000000, 8.624353, 0.000004, 1, 15.000000, 1758.000000, 35.000000, 621.000000, 35.000000, 19.000000
10000, 1.000000, 8.630718, 0.000280, 1, 12.000000, 0.000000, 27.000000, 0.000000, 35.000000, 21.000000
100000, 1.000000, 10.937745, 0.000037, 1, 204.000000, 0.000000, 326.000000, 0.000000, 497.000000, 282.000000
1000000, 1.000000, 13.242533, 0.000000, 1, 2891.000000, 0.000000, 3705.000000, 0.000000, 6537.000000, 3328.000000
1000000, 0.500000, 11.879365, 0.182823, 1, 2508.000000, 0.000000, 3695.000000, 0.000000, 5403.000000, 3216.000000
1000000, 0.150000, 6.220447, 0.658098, 1, 1901.000000, 0.000000, 3644.000000, 0.000000, 4015.000000, 3121.000000
1000000, 0.100000, 4.593766, 0.757439, 1, 1801.000000, 0.000000, 3641.000000, 0.000000, 3762.000000, 3112.000000
250000, 0.100000, 4.150759, 0.757059, 3, 394.000000, 0.000000, 832.666667, 0.000000, 809.333333, 700.333333
250000, 0.100000, 4.122281, 0.758811, 3, 394.666667, 0.000000, 831.666667, 0.000000, 807.333333, 699.333333
250000, 0.100000, 4.173213, 0.757014, 3, 395.000000, 0.000000, 832.333333, 0.000000, 809.666667, 699.000000
100000, 0.000000, 0.000000, 1.000000, 3, 129.333333, 0.000000, 319.333333, 0.000000, 223.666667, 260.333333
100000, 0.000000, 0.000000, 1.000000, 3, 129.000000, 0.000000, 320.333333, 0.000000, 222.666667, 260.333333
100000, 0.000000, 0.000000, 1.000000, 3, 128.666667, 0.000000, 319.666667, 0.000000, 223.666667, 260.666667
100000, 0.010000, 0.477106, 0.974200, 3, 131.000000, 0.000000, 316.000000, 0.000000, 233.333333, 259.000000
100000, 0.010000, 0.466180, 0.975099, 3, 131.333333, 0.000000, 317.333333, 0.000000, 233.000000, 259.000000
100000, 0.010000, 0.442093, 0.973467, 3, 131.333333, 0.000000, 317.333333, 0.000000, 233.000000, 259.000000
100000, 0.100000, 3.836355, 0.764565, 3, 145.000000, 0.000000, 318.333333, 0.000000, 280.000000, 264.333333
100000, 0.100000, 3.842620, 0.754507, 3, 145.000000, 0.000000, 319.000000, 0.000000, 281.333333, 265.000000
100000, 0.100000, 3.832637, 0.758910, 3, 144.000000, 0.000000, 318.333333, 0.000000, 281.333333, 265.000000
100000, 1.000000, 10.936667, 0.000003, 3, 203.333333, 0.000000, 324.000000, 0.000000, 495.000000, 279.333333
100000, 1.000000, 10.939724, 0.000002, 3, 201.666667, 0.000000, 325.333333, 0.000000, 496.333333, 279.333333
100000, 1.000000, 10.939216, 0.000009, 3, 201.333333, 0.000000, 323.666667, 0.000000, 496.000000, 279.666667
1000, 0.000000, 0.000000, 1.000000, 10, 1.700000, 0.100000, 1.500000, 11.800000, 2.100000, 1.400000
1000, 0.000000, 0.000000, 1.000000, 10, 1.600000, 0.000000, 1.300000, 11.000000, 1.800000, 1.600000
1000, 0.000000, 0.000000, 1.000000, 10, 1.500000, 0.100000, 1.400000, 8.700000, 1.700000, 1.300000
1000, 0.000000, 0.000000, 1.000000, 10, 1.500000, 0.200000, 1.600000, 10.000000, 2.100000, 1.600000
1000, 0.000000, 0.000000, 1.000000, 10, 1.800000, 0.100000, 1.600000, 9.600000, 1.900000, 1.800000
1000, 0.000000, 0.000000, 1.000000, 10, 1.600000, 0.200000, 2.300000, 9.800000, 2.000000, 1.600000
1000, 0.000000, 0.000000, 1.000000, 10, 1.500000, 0.300000, 1.300000, 7.500000, 2.000000, 1.600000
1000, 0.000000, 0.000000, 1.000000, 10, 1.800000, 0.000000, 1.800000, 9.200000, 2.100000, 1.700000
1000, 0.000000, 0.000000, 1.000000, 10, 1.700000, 0.000000, 1.900000, 8.700000, 2.300000, 1.700000
1000, 0.000000, 0.000000, 1.000000, 10, 1.600000, 0.000000, 1.500000, 8.500000, 2.100000, 1.700000
5000, 0.000000, 0.000000, 1.000000, 10, 8.700000, 0.400000, 14.700000, 203.900000, 9.200000, 11.700000
5000, 0.000000, 0.000000, 1.000000, 10, 5.400000, 0.200000, 13.100000, 116.800000, 7.200000, 9.600000
5000, 0.000000, 0.000000, 1.000000, 10, 5.300000, 0.200000, 12.500000, 113.500000, 7.100000, 9.300000
5000, 0.000000, 0.000000, 1.000000, 10, 5.100000, 0.200000, 13.100000, 111.000000, 6.900000, 9.100000
5000, 0.000000, 0.000000, 1.000000, 10, 4.500000, 0.100000, 12.500000, 110.500000, 7.000000, 9.000000
5000, 0.000000, 0.000000, 1.000000, 10, 5.100000, 0.300000, 13.200000, 111.700000, 7.000000, 9.300000
5000, 0.000000, 0.000000, 1.000000, 10, 5.100000, 0.300000, 13.100000, 113.900000, 7.100000, 9.300000
5000, 0.000000, 0.000000, 1.000000, 10, 4.800000, 0.200000, 12.900000, 111.200000, 7.100000, 9.100000
5000, 0.000000, 0.000000, 1.000000, 10, 4.900000, 0.400000, 12.800000, 110.500000, 7.000000, 9.100000
5000, 0.000000, 0.000000, 1.000000, 10, 5.000000, 0.200000, 12.100000, 109.400000, 6.900000, 9.000000
10000, 0.000000, 0.000000, 1.000000, 10, 10.800000, 0.600000, 27.400000, 449.800000, 13.900000, 24.300000
10000, 0.000000, 0.000000, 1.000000, 10, 11.000000, 0.500000, 26.700000, 443.800000, 13.900000, 23.600000
