N,P,entropy,r,rsquared,cycles,heap sort time,heap sort freq,insertion sort time,insertion sort freq,merge sort time,merge sort freq,selection sort time,selection sort freq,smooth sort time,smooth sort freq,tim sort time,tim sort freq
100, -0.000000, 0.000000, -1.000000, 1.000000, 10, 0.00, 814, 0.20, 4999, 0.00, 1618, 0.10, 5049, 0.00, 1447, 0.30, 1406
100, -0.000000, 0.000000, -1.000000, 1.000000, 10, 0.10, 819, 0.50, 4999, 0.10, 1618, 0.00, 5049, 0.00, 1449, 0.00, 1401
100, -0.000000, 0.000000, -1.000000, 1.000000, 10, 0.30, 813, 0.20, 5009, 0.00, 1618, 0.10, 5049, 0.20, 1442, 0.10, 1406
100, -0.000000, 0.000000, -1.000000, 1.000000, 10, 0.00, 819, 0.00, 4998, 0.20, 1618, 0.20, 5049, 0.10, 1452, 0.10, 1397
100, -0.000000, 0.000000, -1.000000, 1.000000, 10, 0.20, 814, 0.20, 4992, 0.00, 1618, 0.20, 5049, 0.10, 1463, 0.10, 1393
100, -0.000000, 0.000000, -1.000000, 1.000000, 10, 0.10, 810, 0.40, 4991, 0.00, 1618, 0.10, 5049, 0.30, 1438, 0.10, 1392
100, -0.000000, 0.000000, -1.000000, 1.000000, 10, 0.00, 816, 0.10, 5002, 0.00, 1618, 0.00, 5049, 0.30, 1450, 0.20, 1403
100, -0.000000, 0.000000, -1.000000, 1.000000, 10, 0.00, 816, 0.10, 4987, 0.10, 1618, 0.10, 5049, 0.20, 1452, 0.10, 1388
100, -0.000000, 0.000000, -1.000000, 1.000000, 10, 0.10, 821, 0.70, 4998, 0.10, 1618, 0.00, 5049, 0.20, 1447, 0.00, 1400
100, -0.000000, 0.000000, -1.000000, 1.000000, 10, 0.20, 813, 0.20, 5009, 0.10, 1618, 0.00, 5049, 0.10, 1440, 0.20, 1409
100, -0.100000, 1.442734, -0.901074, 0.811935, 10, 0.00, 822, 0.40, 4566, 0.10, 1618, 0.20, 5049, 0.00, 1467, 0.10, 1322
100, -0.100000, 1.785760, -0.958716, 0.919136, 10, 0.10, 824, 0.30, 4707, 0.00, 1618, 0.10, 5049, 0.20, 1484, 0.10, 1308
100, -0.100000, 1.281533, -0.899214, 0.808586, 10, 0.10, 831, 0.30, 4650, 0.00, 1618, 0.10, 5049, 0.10, 1455, 0.10, 1309
100, -0.100000, 1.745462, -0.828275, 0.686039, 10, 0.00, 828, 0.50, 4452, 0.00, 1618, 0.10, 5049, 0.10, 1460, 0.20, 1293
100, -0.100000, 1.401847, -0.940414, 0.884379, 10, 0.20, 822, 0.30, 4726, 0.00, 1618, 0.00, 5049, 0.10, 1469, 0.00, 1325
100, -0.100000, 1.456597, -0.742850, 0.551827, 10, 0.30, 830, 0.00, 4380, 0.00, 1618, 0.10, 5049, 0.00, 1411, 0.00, 1289
